,PRCP,TMAX,IS_STORM
2124,0.38,84,0.0
2125,1.29,68,1.0
2126,0.02,78,0.0
2173,0.0,79,0.0
2174,0.02,77,0.0
2175,0.0,83,0.0
2176,0.24,85,0.0
2177,0.08,91,0.0
2178,0.2,74,0.0
2225,0.12,77,0.0
2226,0.48000000000000004,85,0.0
2227,0.01,81,0.0
2228,0.03,77,0.0
2229,0.0,92,0.0
2230,0.02,75,0.0
2277,0.0,86,0.0
2278,1.52,80,1.0
2279,0.0,85,0.0
2280,0.0,78,0.0
2281,0.0,85,0.0
2282,0.0,85,0.0
2329,0.0,79,0.0
2330,0.0,85,0.0
2331,0.08,78,0.0
2332,0.16,77,0.0
2333,0.12000000000000001,74,0.0
2334,0.79,78,1.0
2382,0.02,82,0.0
2383,0.0,84,0.0
2384,0.0,85,0.0
2385,0.03,75,0.0
2386,0.0,78,0.0
2387,0.0,81,0.0
2434,0.0,88,0.0
2435,0.66,79,1.0
2436,0.85,77,1.0
2437,0.18,81,0.0
2438,0.0,86,0.0
2439,0.01,78,0.0
2486,0.02,75,0.0
2487,0.26,82,0.0
2488,0.0,82,0.0
2489,0.0,83,0.0
2490,0.03,84,0.0
2491,1.05,69,1.0
2538,0.0,86,0.0
2539,0.08,89,0.0
2540,0.53,72,1.0
2541,0.77,77,1.0
2542,0.55,66,1.0
2543,0.0,75,0.0
2590,0.41000000000000003,82,0.0
2591,0.89,80,1.0
2592,0.0,82,0.0
2593,0.83,80,1.0
2594,1.58,80,1.0
2595,0.82,82,0.0
2642,0.01,81,0.0
2643,0.0,87,0.0
2644,0.0,86,0.0
2645,0.0,76,0.0
2646,0.16,77,0.0
2647,0.56,76,1.0
2695,0.09,79,0.0
2696,0.02,76,0.0
2697,0.0,87,0.0
2698,0.0,82,0.0
2699,0.15000000000000002,81,0.0
2700,0.0,70,0.0
2747,0.02,83,0.0
2748,0.09,69,0.0
2749,0.63,68,1.0
2750,0.01,84,0.0
2751,0.08,73,0.0
2752,0.36000000000000004,75,1.0
2799,2.1999999999999997,78,1.0
2800,0.06,77,0.0
2801,0.0,74,0.0
2802,0.02,77,0.0
2803,0.09,77,0.0
2804,0.6599999999999999,71,1.0
2851,0.01,82,0.0
2852,0.08,87,0.0
2853,0.01,76,0.0
2854,0.13,80,0.0
2855,0.05,75,0.0
2856,0.15,74,0.0
2903,0.0,84,0.0
2904,0.0,84,0.0
2905,0.24,88,0.0
2906,0.26,71,0.0
2907,0.39,76,1.0
2908,0.0,84,0.0
2955,0.74,83,0.0
2956,1.38,77,1.0
2957,0.17,76,0.0
2958,1.78,73,1.0
2959,0.7,65,1.0
2960,0.15,68,0.0
3008,0.24,84,0.0
3009,0.0,78,0.0
3010,0.42,77,1.0
3011,0.060000000000000005,72,0.0
3012,0.0,71,0.0
3013,0.68,69,1.0
3060,0.0,87,0.0
3061,0.01,89,0.0
3062,0.02,82,0.0
3063,0.8,75,1.0
3064,0.61,77,1.0
3065,0.0,80,0.0
3112,0.06999999999999999,79,0.0
3113,0.46,86,0.0
3114,0.66,85,0.0
3115,0.41000000000000003,84,0.0
3116,0.01,66,0.0
3117,1.67,66,1.0
3164,2.15,81,0.0
3165,0.17,72,0.0
3166,0.0,78,0.0
3167,0.0,79,0.0
3168,0.5700000000000001,80,1.0
3169,0.21,78,0.0
3216,0.0,87,0.0
3217,0.39999999999999997,88,0.0
3218,1.3699999999999999,76,1.0
3219,0.01,87,0.0
3220,0.3,80,0.0
3221,0.0,87,0.0
3269,0.0,86,0.0
3270,0.52,84,0.0
3271,0.6,70,1.0
3272,3.39,72,1.0
3273,0.68,75,1.0
3274,0.0,71,0.0
3321,0.0,84,0.0
3322,0.01,83,0.0
3323,0.0,85,0.0
3324,0.49000000000000005,69,1.0
3325,0.78,80,1.0
3326,0.51,77,1.0
3373,0.0,79,0.0
3374,0.0,73,0.0
3375,0.02,90,0.0
3376,0.0,82,0.0
3377,0.01,82,0.0
3378,0.0,77,0.0
3425,0.05,84,0.0
3426,1.03,82,0.0
3427,2.0300000000000002,80,1.0
3428,0.14,93,0.0
3429,0.78,78,1.0
3430,3.22,64,1.0
3477,0.0,84,0.0
3478,0.38,88,0.0
3479,0.12,90,0.0
3480,0.0,87,0.0
3481,0.04,79,0.0
3482,2.07,71,1.0
3529,0.08,89,0.0
3530,1.7000000000000002,85,0.0
3531,0.46,70,1.0
3532,0.02,81,0.0
3533,0.27,73,0.0
3534,0.08,72,0.0
3582,0.0,92,0.0
3583,0.24000000000000002,71,0.0
3584,0.49,77,1.0
3585,0.3,78,0.0
3586,0.01,77,0.0
3587,0.07,69,0.0
3634,0.0,88,0.0
3635,0.0,90,0.0
3636,0.0,85,0.0
3637,0.31,77,0.0
3638,0.2,72,0.0
3639,0.08,86,0.0
